Date,0728.HK,0941.HK,AAPL,ACS.MC,ACX.MC,AMD,AMS.MC,AMT,AMZN,ANA.MC,BBVA.MC,BKT.MC,BRK-B,BTI,CABK.MC,CCI,CHT,ELE.MC,ENG.MC,FER.MC,GOOG,GRF.MC,HD,IBE.MC,ITX.MC,JNJ,JPM,LLY,MA,MAP.MC,MEL.MC,META,MSFT,NFLX,NTGY.MC,NVDA,ORAN,PG,REP.MC,SAN.MC,SIE.DE,T,TEF.MC,TSLA,UNH,V,VIS.MC,VZ,WMT,XOM
2021-01-05,0.03349290625943335,0.0513113533659888,0.012363617839317165,0.016290372300136635,0.0019369224840022348,0.0050920214059477775,0.0027556938595203473,0.0050546545620606675,0.010004358381754175,-0.005123752022165418,-0.0009809424361336694,0.03406998388655058,-0.0042897603004175,0.013793128437535218,0.002348443597750993,0.0039352923708197984,0.012103973855751349,-0.008940696854159214,-0.01369091639497988,-0.014407845558569554,0.007336926737686156,-0.0004151016173911115,0.008070539177284397,-0.015539509569521659,-0.003482833144970221,0.011756989858455524,0.00544132880783299,0.004955063222987999,-0.011579181719995502,0.008832641326924406,-0.000933728183587057,0.007548090565272947,0.0009647616735259934,-0.0039398646220911715,-0.007080933469227002,0.022209960788927674,-0.0040817464622016075,0.006385248714669389,0.07697993851423224,0.003506841446549558,-0.0020405219596026924,-0.006114210318998614,0.007274856878873415,0.007317368906131216,-0.013447999080997364,-0.014924635170234679,-0.017485524933104513,-0.004587899247278204,-0.005323027022431481,0.0481926836331481
2021-01-06,0.037036984612309753,0.011930535598841052,-0.033661594499767133,0.02185799507488717,0.02426977775575434,-0.02630155115128041,0.023359728069011876,-0.02636939268053351,-0.024896614147709384,0.025751056453598098,0.05768292621774718,0.06099713285341535,0.012309328864165803,-0.004971244386969276,0.05670099583259325,-0.026862195096047925,-0.010941487927874194,0.02119978899664665,0.020679833138210313,0.010506913399481732,-0.0032339372560891144,-0.005813997028741524,0.005713359002129215,0.0435152609595737,0.02524269030104409,0.009410366269243964,0.04695569984580583,-0.01202517713164264,0.00037388040826336066,0.02751718534678349,0.04485986023055921,-0.028268829707858156,-0.025929348927465568,-0.03899769207880144,0.018753059417122353,-0.05895311963696015,0.022131185130929598,0.01052630694497636,0.013745800221776072,0.068724489571109,0.03833707211004289,0.019480363198282724,0.049353067408947515,0.028390302267496503,0.04196627280133791,-0.00881100784319333,-0.008474547184470271,0.012120146402525345,0.006243597796515621,0.025517009829345128
2021-01-07,-0.09374995734639724,-0.0718114299025302,0.03412345097092362,-0.011051741901334955,0.02956570307085271,0.05347062695834204,-0.046660027571760354,0.012145637552931188,0.0075771277744003385,0.055230091006470916,0.009979193786310958,0.04196419759996428,0.011334522785969803,0.0031554093473393774,0.037694020807711226,0.006735891854324327,-0.0012864582227313237,-0.004858654930093187,0.0061059651308423835,-0.013562331484483603,0.029943122346377082,-0.004594808711766429,-0.004895949347439754,0.004497251135085811,-0.0064395356287982874,0.0033785531101107047,0.03283937732490805,0.009189491515642079,0.007922800742573344,0.002434647283943381,-0.009839052535681736,0.020622121112236158,0.02845696606272674,0.016783601226727507,0.0243713585235783,0.05783046924281732,0.016840455893599948,-0.009346490433584487,0.0036158609058734026,0.014713908761789574,0.019855618521203766,0.002681887304692765,0.027817575453176202,0.07944656360858104,0.016032375735197002,0.00559706847981345,0.0076924136355425166,-0.0022500940686620563,-6.831639511994947e-05,0.007846020860030611
2021-01-08,-0.034482766410931176,-0.04157048249979822,0.00863125419446198,0.0025234003988696685,-0.010997980279264907,-0.0060950169055702386,0.005281707359025223,0.021609226395777226,0.006495514374673217,0.014274442759826034,-0.017463330767418572,0.0026175431375679015,0.004938139266456476,0.0015725792695835406,0.00042742429541164917,0.010560937756852296,0.016228798896354313,0.011096398606649682,0.005241399629014154,0.01879010811670856,0.011167981012697226,-0.0004196306420365392,0.01062870248612735,0.017908017871566928,0.01868103915807695,-0.0020579811543280924,0.0011038772721463364,0.003497401608113959,0.011404698684676084,-0.0018215270102789338,0.018066916752758733,-0.004353658781964587,0.006092666129287494,0.002967201565332367,0.026069590432827416,-0.005039783845927515,-0.015772924877105354,-0.0004323095353059303,-0.01756368768877825,-0.011815204825454617,-0.0024134407552695025,-0.0068962095217223185,-0.0047433042321589625,0.07840299470467449,-0.0044924483607314825,0.007670297886717359,-0.004240866977515467,-0.012472273715427029,-0.00013639518153774066,0.01112097698125658
2021-01-11,0.015306159456885515,0.05783136885067397,-0.023248950577810623,0.011506584539349607,-0.0008235001500188632,0.028230049875814567,-0.015061213285380015,-0.03276331849622138,-0.021519462280005563,-0.025801390609721975,-0.0058465390982439525,-0.010042184934427656,-0.002563799968573477,-0.009159745040892786,-0.01922267842731684,-0.006490925123413982,0.0030418034952444106,-0.015364297796023885,-0.003841895825591468,-0.024741284203081748,-0.022404731456233118,-0.007976573526593755,0.007952801108791263,-0.0075970311880808605,-0.018712694233845473,-0.0041862866592728976,0.014924454344066973,0.11736044066853735,-0.015967238976003606,-0.007907530028169685,-0.023957448695370198,-0.04010165736116733,-0.009698383655234344,-0.022139474780755064,-0.005920265997562568,0.025966509755999567,-0.011217909415827787,-0.006772399897390757,-0.01031396321823086,0.018115820720650433,-0.00016143197587925595,-0.005168883007450775,-0.0036445597028743615,-0.07821411721500826,-0.007265163480900783,-0.011882050116519438,0.016184060521059696,-0.005882341197191665,0.004501243365984342,0.030356429430324905
2021-01-12,0.10050252144143212,0.06605911042841361,-0.0013954463677439133,0.03554926790075896,0.007831660665127638,-0.01943444102466263,0.018136462943175058,-4.651366873931195e-05,0.002125797051401035,0.005617973786651742,0.0011760883142022394,-0.0018258806335433864,-0.0017135497109831421,-0.012678442508227361,0.028745756904887232,-0.016986938705090604,-0.003538080871871352,-0.02808738523027321,-0.0013774668598862672,0.0018450678677479626,-0.011416562510943362,0.012695798768380895,0.01880312769994741,-0.020176555611400304,-0.004195183858478613,-0.0077804824384074545,0.015718748138586758,-0.0383992344952252,-0.015163792673974719,0.006131352153624592,0.03545457666570484,-0.022387502255503677,-0.011770792359841686,-0.009717503594880217,0.017866004906406996,-0.010039356540217592,-0.003241522119496909,-0.005803544928696169,0.021537705813756025,0.01405695089677983,0.0004840303007507263,-0.004156301803436069,0.01266176673522068,0.047152947996006445,-0.009369328274711819,-0.01893006099684691,-0.0075441813787449075,-0.003480769731297073,0.011405935413737023,0.02220303866097062
2021-01-13,0.01826474392341515,-0.018162292351001974,0.01622680650689845,-0.01647776145816504,0.003476690954552497,-0.03754196526993381,-0.009081286058272076,0.007212434860391248,0.014438406874172749,0.011173176958039432,-0.014097578215611417,0.0030488645101851564,0.0063510952894128,0.014178982149811281,-0.00804399136610845,0.014821255760141039,0.012934494182736955,0.02935760850993052,0.016827706297899647,-0.03084713769091496,0.004494550072683179,0.009611334621726808,-0.008250885252609086,0.009587392059612121,-0.01263881500165931,-0.0015178282931906928,0.0009271018814238641,0.03747211816514051,0.009943776103806146,-0.004265800920313811,-0.013169496723722696,0.002190474226385186,0.00656033541106793,0.02739506028309946,-0.0019501441600129343,0.0034855676953207126,0.012195164435105044,0.001532135920773392,-0.013602451710881258,-0.006141217177581315,-0.00983558423279618,-0.004869871909922607,0.09669355057412621,0.005850950889994211,-0.0065197975348501025,0.0023461472294303842,0.021959397621463816,-0.003492847196459925,-0.010203301073714366,0.011278292181069904
2021-01-14,0.031390143443956076,0.026115334557270886,-0.01512751829326242,0.020942390497465047,0.000407411743519992,-0.010786640629078414,0.00986947930772275,-0.006791095289929827,-0.012135545173177387,0.0015785964252057472,-0.005243355196469901,-0.010334565222726244,0.002174789039151692,0.010023855621991595,-0.0034144520687936497,0.013556808887649874,0.004506620564628694,0.010695241382285614,-0.001899196224240507,-0.001425240780578041,-0.00810531211146226,-0.0012416968396082861,-0.020835709601937147,-0.008670546393289125,0.020946532066731693,0.017480442021591935,0.005842612419700188,0.0064150362383328385,-0.05601564251787594,-0.006731942472803287,0.016903962448988175,-0.023843571688721643,-0.015346278401369595,-0.013647419359859914,0.002931099701332762,-0.024498042610789472,-0.023293174191449717,-0.010636679143745775,0.01838672799024743,-0.010946276138491862,-0.003908189782689808,0.02376810121962203,-0.028375973333568894,-0.011013523157297866,-0.012702794586020971,-0.035777376970555275,-0.0024791594501467618,-0.00035051708348110555,-0.003255150556750963,0.039033559448967914
2021-01-15,0.017391347116892053,-0.0010604888118430633,-0.013730467568615068,-0.01162406127583282,-0.04033413897351967,-0.028417246448264377,-0.019197179756618388,0.02279163618753377,-0.007424600125642833,-0.009456388754656597,-0.020603697085470274,-0.02149862550986792,-0.006510078935762165,-0.010708016683697141,-0.047965792673866914,0.016089561757958393,-0.011964129677337398,-0.008377333668275866,-0.019298541459685015,-0.017602337278313063,-0.00229285375624122,0.0,0.02701796722114347,-0.007496847458203226,-0.00987858456120938,-0.002178852486363181,-0.01792146361615743,0.021854470071353216,-0.011225737704715355,-0.017251966843871758,0.0026246484838330364,0.023286071730587832,-0.0017369179141659696,-0.005750058797795332,-0.02338049068995718,-0.02581377619689007,-0.02796054204697973,-0.007510890027381145,-0.02369667139912701,-0.02873989770857166,-0.02092520399319564,-0.0040970317978227255,-0.0221642802143579,-0.02229585445953386,0.002196811493363482,-0.0013376398711263393,-0.000828654496980219,0.005960798886238461,-0.015853753192495934,-0.04810164053625532
2021-01-18,0.03418805149750059,0.04458613321056437,0.005427217508953586,0.004496767173912675,0.02037795163373901,0.014057339039104555,0.0021352243800032422,-0.013688639835996108,0.005318518294228358,0.011137622658817792,0.012720202519211021,0.016949383711585053,0.0045397984224415655,-0.0055439475190715015,0.002249139391252264,0.013608755102574088,-0.0020181132814834912,-0.007559086809882598,0.012195005311752771,0.0077482919422946495,0.03148839429839545,0.02030674475887828,-0.008708513835619436,-0.0020981975395505392,0.005372327319350889,0.01547131832704407,-0.004328010130564053,0.040414975108933326,0.008290670171080539,-0.0062695444622064,0.013961592223343589,0.038749260209353986,0.017822775037243943,0.00761070312809764,-0.008229316746844462,0.01288920857447895,-0.0042301330771009615,-0.008755100286278128,0.0023115662140851256,0.006432518593331826,0.000500860081458665,-0.007542015074772035,-0.004000019722448567,0.022259629183487784,0.002533401596250373,0.0003472399046577923,0.004145994155094979,-0.005750996053113355,-0.008642035584165098,0.01983701450970643
